,SongName,ArtistName,id,cluster
0,Still Got Time (feat. PARTYNEXTDOOR),"ZAYN, PARTYNEXTDOOR",000xQL6tZNLJzIrtIgxqSl,0
1,Growing Pains,Alessia Cara,003eoIwxETJujVWmNFMoZy,0
2,Mr. Brightside,The Killers,003vvx7Niy0yvhvHt4a68B,1
3,Best Life (feat. Chance The Rapper),"Cardi B, Chance the Rapper",00B7TZ0Xawar6NZ00JFomN,1
4,One Right Now (with The Weeknd),"Post Malone, The Weeknd",00Blm7zeNqgYLPtW6zg8cj,0
5,No Me Acuerdo,"Thalia, NATTI NATASHA",00EPIEnX1JFjff8sC6bccd,0
6,Hot Stuff,"Kygo, Donna Summer",00ETaeHUQ6lops3oWU1Wrt,0
7,Baile do Bruxo,"Tropa do Bruxo, DJ Ws da Igrejinha, SMU, Triz, Mc Menor Thalis",00ZKeP47bZtswtANkvxz2j,1
8,Bounce Out With That,YBN Nahmir,00gpGR84M27moP7AFuqHIx,2
9,LOOSE CHANGE,Brent Faiyaz,00imgaPlYRrMGn9o83hfmk,1
10,Hot Shower,"Chance the Rapper, MadeinTYO, DaBaby",00ko9WaS4jOX1kEk3gvHjf,1
11,You Don't Know Me (feat. RAYE),"Jax Jones, RAYE",00lNx0OcTJrS3MKHcB80HY,0
12,Maria Mariah,"KZA Produções, wonda",00rxTS5TKv3oXpDA6nWfBi,2
13,East Side of Sorrow,Zach Bryan,00syWkRGIVQvYsg2OwfBUw,0
14,Break My Heart,Dua Lipa,017PF4Q3l4DBUiWoXk4OWT,1
15,CHopstix (feat. Travis Scott),"ScHoolboy Q, Travis Scott",01DOm09B2AbiTARAbXVI6g,0
16,Nothing New (feat. Phoebe Bridgers) (Taylor’s Version) (From The Vault),"Taylor Swift, Phoebe Bridgers",01K4zKU104LyJ8gMb7227B,1
17,Did It Again,Lil Tecca,01Qb6dN5suQNu87VJ1mIpf,2
18,NUMB,XXXTENTACION,01TnVDiet1DFTsyWKUKovl,0
19,Paradise,BTS,01dmH2IPkrLNWIMPNXlreE,0
20,malibu,sangiovanni,01hEpx8jnOG4q7nDK14Rhi,2
21,If You're Over Me,Olly Alexander (Years & Years),01k24g94i1JvkFLQmVEdCd,0
22,TELEFONO NUEVO,"Bad Bunny, Luar La L",01ppKlDRCmPpusO3yNrSRY,3
23,3D (feat. Jack Harlow),"Jung Kook, Jack Harlow",01qFKNWq73UfEslI0GvumE,0
24,One Last Song,Sam Smith,01uk7IzZyFNfQTDBXxx6NB,0
25,UP IN SMOKE,RIN,01vR5Z7AHinp9D2wu2BNQS,0
26,Morph,Twenty One Pilots,01vv2AjxgP4uUyb8waYO5Y,1
27,Come Back to Earth,Mac Miller,01z2fBGB8Hl3Jd3zXe4IXR,2
28,SUPREME - L'ego,"Marracash, thasup, Sfera Ebbasta",020wG4EHTwBy5h2rbpxqvK,1
29,All Bad (feat. Lil Uzi Vert),"Future, Lil Uzi Vert",021lWIHJrURZrmvYQ1xcM8,0
30,Do They Know It's Christmas? - 1984 Version,Band Aid,0247StOpd3AkeBQzANX4Zf,1
31,Cozy Little Christmas,Katy Perry,02FaKXXL7KUtRc7K0k54tL,0
32,Switch,"Iggy Azalea, Anitta",02LZ1fGJE8fB56yTlCVMEV,0
33,Heat Waves,Glass Animals,02MWAaffLxlfxAUY7c5dvx,1
34,Woah,Lil Baby,02RCbjb9czvQKNGBmEmWob,0
35,Leave The Door Open,"Bruno Mars, Anderson .Paak, Silk Sonic",02VBYrHfVwfEWXk5DXyf0T,1
36,Dancing On My Own,Calum Scott,02WacdrRpm4zlP8H7X6bnQ,1
37,All Around The World (La La La),"R3HAB, A Touch Of Class",02itaCXOdC54J0ISjqqFAp,2
38,Si Te La Encuentras Por Ahí,Feid,02jLfqc9gMo8PkHEGHY3OT,0
39,Lemonade (feat. NAV),"Internet Money, Gunna, Don Toliver, NAV",02kDW379Yfd5PzW5A6vuGt,0
40,Cool With You,NewJeans,02wk5BttM0QL38ERjLPQJB,2
41,ENERGY (feat. Beam),"Beyoncé, BEAM",0314PeD1sQNonfVWix3B2K,2
42,100k Cash,"Capital Bra, Samra",033if6Adj8fwBYsQzHOfQ8,0
43,Skin,Sabrina Carpenter,03B2SfXuvDh1m9F4tqrX07,0
44,"Nicky Jam: Bzrp Music Sessions, Vol. 41","Bizarrap, Nicky Jam",03LfOYi0icz4souspZVVhq,2
45,Oh Na Na,"Camila Cabello, Myke Towers, Tainy",03NqHNdG3Ur6kciQWK6e8V,0
46,Orphans,Coldplay,03T4ttRCiLXST6MZjeMwmR,0
47,bad vibes forever (feat. PnB Rock & Trippie Redd),"XXXTENTACION, PnB Rock, Trippie Redd",03eJ2DclFWXYU8GWgANdmZ,2
48,Everything I Love,Morgan Wallen,03fs6oV5JAlbytRYf3371S,0
49,Groupie Love (feat. A$AP Rocky),"Lana Del Rey, A$AP Rocky",03hqMhmCZiNKMSPmVabPLP,1
50,IDOL,"BTS, Nicki Minaj",03iCbZaM4OkRR4We6wIzvx,1
51,Treat People With Kindness,Harry Styles,03mMSLEJCPoGJwQhHpN5y0,0
52,Drew A Picasso,Drake,03rwnftfgpYVO6QDWOZcG6,1
53,When You're Ready,Shawn Mendes,03vyB3AHCuEGfhh7wPc7Yf,2
54,Say Yes To Heaven,Lana Del Rey,03wOsqNRdFZAgwo708sjw2,0
55,Just You and I,Tom Walker,03x2rVJRFUrvwlfxoHd9Mo,0
56,Petrouchka (feat. PLK),"Soso Maness, PLK",03y045SZqaC94yfXl1cU4E,0
57,Your Power,Billie Eilish,042Sl6Mn83JHyLEqdK7uI0,1
58,Not Going Home (feat. Gia Koka),"DVBBS, CMC$, Gia Koka",042x9bsUBWW2fJgJ6fUh61,0
59,I Dare You,The xx,044qU7kwVZaDwzWnRsmVVL,1
60,Out Of The Woods (Taylor's Version),Taylor Swift,045ZeOHPIzhxxsm8bq5kyE,1
61,River,Miley Cyrus,04CqLjewJiSAqM210vZAmT,2
62,Lighthouse - Andrelli Remix,"Hearts & Colors, Andrelli",04CttTezSnv71USiiG9mIo,0
63,BURN,"¥$, Kanye West, Ty Dolla $ign",04CyMEHliadfQWMUJb1w99,2
64,In the Name of Love,"Martin Garrix, Bebe Rexha",04DwTuZ2VBdJCCC5TROn7L,0
65,No Stylist (feat. Drake),"French Montana, Drake",04MLEeAMuV9IlHEsD8vF6A,0
66,Enchanted,Taylor Swift,04S1pkp1VaIqjg8zZqknR5,3
67,GOD'S COUNTRY,Travis Scott,04WxWo7XeVyx22xEsrWRUb,2
68,I'm a Mess,Bebe Rexha,04ZTP5KsCypmtCmQg5tH9R,0
69,Puntos Suspensivos,Piso 21,04cd1MHVq1D8v1nuTZoCdv,0
70,Cupido,TINI,04ndZkbKGthTgYSv3xS7en,0
71,Bored,Billie Eilish,04sN26COy28wTXYj3dMoiZ,0
72,Todo Mundo Menos Você,"Marília Mendonça, Maiara & Maraisa",053zWWZDziDJd3U94x8RuP,0
73,Te Vi,"Piso 21, Micro TDH",059bcIhyc2SBwm6sw2AZzd,1
74,Framed,Eminem,05CgKydlFJALNy4JTHeMgs,1
75,Call You Mine,"The Chainsmokers, Bebe Rexha",05CwHjIk71RXVU40boRMnR,0
76,Begin Again (Taylor's Version),Taylor Swift,05GsNucq8Bngd9fnd4fRa0,1
77,Free Smoke,Drake,05KOgYg8PGeJyyWBPi5ja8,0
78,BELLAKEO,"Peso Pluma, Anitta",05WVKTdZhlIMX4qqMLuo0f,0
79,INTRO,DaBaby,05WepN8vrMLJG5r8XRdLeL,0
