,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,liked/disliked
1,0.5,0.337,10.0,-15.412,1.0,0.0381,0.0725,0.772,0.0962,0.0393,144.116,3.0,1
2,0.417,0.433,4.0,-8.958,1.0,0.0415,0.0726,0.0,0.123,0.207,169.92,4.0,1
3,0.581,0.963,11.0,-4.087,1.0,0.0981,0.0295,0.0,0.139,0.788,129.992,4.0,1
4,0.738,0.794,11.0,-4.118,0.0,0.0416,0.101,0.0,0.0533,0.566,104.014,4.0,1
5,0.562,0.351,1.0,-7.802,1.0,0.0261,0.728,0.0,0.124,0.55,147.923,4.0,1
6,0.591,0.462,5.0,-9.77,1.0,0.0281,0.64,6.44e-05,0.108,0.323,114.02,4.0,1
7,0.715,0.605,0.0,-5.128,0.0,0.0428,0.239,1.41e-05,0.189,0.454,122.956,4.0,1
8,0.634,0.731,9.0,-4.546,1.0,0.035,0.111,0.0,0.119,0.672,102.186,4.0,1
9,0.697,0.718,10.0,-5.762,0.0,0.327,0.556,2.61e-05,0.0938,0.787,85.763,4.0,1
10,0.787,0.8,0.0,-3.201,1.0,0.036,0.094,0.0,0.0736,0.924,104.024,4.0,1
11,0.728,0.563,1.0,-8.053,0.0,0.134,0.621,0.0,0.179,0.352,100.017,4.0,1
12,0.236,0.14,7.0,-13.478,1.0,0.0343,0.916,0.000148,0.087,0.123,76.805,4.0,1
13,0.607,0.649,11.0,-6.695,0.0,0.0362,0.0306,2.46e-05,0.174,0.505,102.996,4.0,1
14,0.759,0.54,9.0,-6.039,0.0,0.0287,0.037,0.0,0.0945,0.75,116.947,4.0,1
15,0.514,0.727,0.0,-6.131,1.0,0.0492,0.126,0.0,0.0978,0.37,147.917,4.0,1
16,0.304,0.34,3.0,-10.029,1.0,0.0367,0.961,0.231,0.218,0.298,175.991,4.0,1
17,0.412,0.114,4.0,-19.055,0.0,0.0469,0.838,0.0,0.125,0.302,199.872,4.0,1
18,0.838,0.251,10.0,-9.992,1.0,0.0503,0.714,0.0,0.0459,0.893,107.972,4.0,1
